,precision,recall,f1-score,support
Apple,1.0,1.0,1.0,1.0
Banana,1.0,1.0,1.0,1.0
Coconut,1.0,0.5,0.6666666666666666,2.0
Ice,1.0,1.0,1.0,1.0
Lime,1.0,1.0,1.0,3.0
Milk,1.0,1.0,1.0,3.0
Mint,1.0,1.0,1.0,4.0
Pineapple,0.6666666666666666,1.0,0.8,2.0
Rum,1.0,1.0,1.0,4.0
Salt,1.0,1.0,1.0,1.0
Soda,1.0,1.0,1.0,1.0
Strawberry,1.0,1.0,1.0,1.0
Sugar,1.0,1.0,1.0,1.0
Tequila,1.0,1.0,1.0,3.0
accuracy,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143
macro avg,0.9761904761904762,0.9642857142857143,0.9619047619047619,28.0
weighted avg,0.9761904761904762,0.9642857142857143,0.9619047619047619,28.0
